,Date,Open,High,Low,Close,Adj Close,Volume,days, biden, trump
0,2020-07-09,58.5,59.57,55.900002,57.200001,57.200001,1977100,8,52,37
1,2020-07-10,58.450001,58.450001,56.34,57.490002000000004,57.490002000000004,828600,9,51,41
2,2020-07-17,59.389998999999996,61.34,59.240002000000004,61.0,61.0,1211200,16,45,38
3,2020-07-21,62.66,62.84,59.889998999999996,60.740002000000004,60.740002000000004,1428500,20,51,41
4,2020-07-22,60.610001000000004,61.799999,60.360001000000004,61.150002,61.150002,1114800,21,48,42
5,2020-07-29,60.040001000000004,60.84,59.630001,60.110001000000004,60.110001000000004,851900,28,48,45
6,2020-08-03,60.0,61.009997999999996,59.290001000000004,60.84,60.84,774400,33,53,42
7,2020-08-06,64.860001,65.360001,63.130001,64.459999,64.459999,1497700,36,51,41
8,2020-08-12,70.089996,74.940002,69.639999,73.529999,73.529999,1667400,42,52,42
9,2020-08-13,73.239998,76.529999,73.150002,75.709999,75.709999,1883500,43,50,46
10,2020-08-14,75.709999,76.199997,74.019997,74.309998,74.309998,1118400,44,48,44
11,2020-08-21,73.93,74.900002,73.33000200000001,74.099998,74.099998,748900,51,51,43
12,2020-08-25,77.32,78.16999799999999,74.739998,77.370003,77.370003,1653700,55,47,38
13,2020-08-26,78.209999,80.089996,76.940002,78.190002,78.190002,1400600,56,49,45
14,2020-08-27,78.190002,79.949997,77.010002,77.610001,77.610001,1085600,57,50,43
15,2020-08-28,78.25,81.870003,77.599998,80.0,80.0,1871100,58,47,40
16,2020-08-31,80.0,80.839996,76.160004,76.589996,76.589996,2491500,61,52,42
17,2020-09-02,79.08000200000001,79.160004,75.83000200000001,77.449997,77.449997,1058500,63,48,46
18,2020-09-03,76.489998,76.489998,71.5,72.5,72.5,2284700,64,51,44
19,2020-09-10,72.389999,73.019997,69.529999,69.889999,69.889999,860300,71,48,43
20,2020-09-11,70.91999799999999,71.93,69.66999799999999,69.910004,69.910004,1058500,72,50,41
21,2020-09-17,66.029999,66.790001,63.610001000000004,64.0,64.0,11380700,78,50,44
22,2020-09-18,64.18,64.790001,61.0,61.75,61.75,4974300,79,51,42
23,2020-09-21,60.48,62.299999,60.25,61.669998,61.669998,3434900,82,48,44
24,2020-09-22,62.16,62.200001,60.560001,61.549999,61.549999,1932700,83,49,41
25,2020-09-23,62.07,63.84,61.799999,62.02,62.02,2784900,84,51,43
26,2020-09-24,61.200001,62.200001,59.52,61.299999,61.299999,2069900,85,51,45
27,2020-09-28,64.260002,65.58000200000001,63.93,65.370003,65.370003,1780900,89,49,46
28,2020-09-29,65.5,66.0,64.699997,65.760002,65.760002,1702000,90,47,40
29,2020-09-30,65.800003,68.139999,65.650002,66.199997,66.199997,2891300,91,52,40
30,2020-10-01,67.269997,68.879997,66.779999,68.57,68.57,2273700,92,57,41
