,Date,Open,High,Low,Close,Adj Close,Volume, biden, trump
5,2020-07-09,13.78,13.78,13.35,13.58,13.58,939200,52,37
6,2020-07-10,13.53,13.56,13.44,13.56,13.56,603100,51,41
11,2020-07-17,14.11,14.21,14.03,14.21,14.21,705400,45,38
13,2020-07-21,14.67,14.68,14.46,14.54,14.54,1392500,51,41
14,2020-07-22,14.56,14.69,14.5,14.66,14.66,785500,48,42
19,2020-07-29,14.49,14.5,14.35,14.43,14.43,934700,48,45
22,2020-08-03,14.55,14.78,14.42,14.75,14.75,1485600,53,42
25,2020-08-06,15.65,15.77,15.53,15.65,15.65,1249400,51,41
29,2020-08-12,15.71,16,15.64,15.95,15.95,1363800,52,42
30,2020-08-13,16,16.370001,15.96,16.219999,16.219999,1477900,50,46
31,2020-08-14,16.200001,16.299999,16.049999,16.1,16.1,4175700,48,44
36,2020-08-21,16.209999,16.379999,16.190001,16.290001,16.290001,1618200,51,43
38,2020-08-25,16.700001,16.879999,16.57,16.870001,16.870001,2008000,47,38
39,2020-08-26,16.940001,17.030001,16.82,16.870001,16.870001,2550700,49,45
40,2020-08-27,16.92,16.969999,16.700001,16.82,16.82,2338700,50,43
41,2020-08-28,17,17.280001,16.940001,17.200001,17.200001,3465000,47,40
42,2020-08-31,17.26,17.34,17.049999,17.139999,17.139999,2685600,52,42
44,2020-09-02,17.49,17.549999,17.049999,17.35,17.35,2322500,48,46
45,2020-09-03,17.110001,17.129999,16.219999,16.27,16.27,5664400,51,44
49,2020-09-10,16.559999,16.6,16.139999,16.200001,16.200001,2044100,48,43
50,2020-09-11,16.379999,16.41,16.059999,16.190001,16.190001,1075900,50,41
54,2020-09-17,16.65,16.790001,16.5,16.74,16.74,1106400,50,44
55,2020-09-18,16.84,16.92,16.559999,16.719999,16.719999,1009300,51,42
56,2020-09-21,16.219999,16.59,16.110001,16.58,16.58,2367400,48,44
57,2020-09-22,16.709999,16.709999,16.42,16.67,16.67,1345100,49,41
58,2020-09-23,16.780001,16.959999,16.48,16.52,16.52,1788400,51,43
59,2020-09-24,16.469999,16.629999,16.049999,16.440001,16.440001,2087000,51,45
61,2020-09-28,17.26,17.59,17.219999,17.559999,17.559999,2629600,49,46
62,2020-09-29,17.82,18.049999,17.75,17.98,17.98,1884400,47,40
63,2020-09-30,18.219999,18.67,18.16,18.49,18.49,3212500,52,40
64,2020-10-01,18.9,19.1,18.719999,19.09,19.09,3378600,57,41
